Date,Mode,Particulars,Deposits,Withdrawals,Balance
# Deposit amount shown is,as on 20-06-2025 ^ Maturity value,is Subject to change due to payment of Tax Deducted at Source (TDS) wherever applicable * Includes accrued interest if any,,,
01-01-2025,,"14,500.00 1,41,828.88",,,
01-01-2025,,"7,500.00 1,27,328.88",,,
01-01-2025,,"1,000.00 1,19,828.88",,,
01-01-2025,,"358.80 1,41,470.08",,,
01-03-2025,,"55.00 98,080.98",,,
01-03-2025,,"40.00 98,635.98",,,
01-03-2025,,"1,427.00 98,675.98",,,
01-03-2025,,"500.00 98,135.98",,,
01-03-2025,,"285.00 1,00,102.98",,,
01-05-2024,,"50.00 2,52,363.71",,,
01-05-2024,,"95.00 2,52,413.71",,,
01-05-2024,,"31,000.00 2,20,363.71",,,
01-05-2024,,"200.00 2,51,363.71",,,
01-05-2024,,"800.00 2,51,563.71",,,
01-05-2024,,"95.00 2,18,584.71",,,
01-05-2024,,"1,684.00 2,18,679.71",,,
01-06-2024,,"1,724.05 81,420.92",,,
01-06-2024,,"1,754.05 83,144.97",,,
01-07-2024,,"460.00 47,073.96",,,
01-07-2024,,"40.00 47,533.96",,,
01-07-2024,,"400.00 47,573.96",,,
01-07-2024,,"90.00 46,983.96",,,
01-08-2024,,"6,000.00 15,954.87",,,
01-09-2024,,"20.00 95,820.54",,,
01-09-2024,,"7,500.00 95,840.54",,,
01-10-2024,,"3,350.00 14,709.88",,,
01-10-2024,,"1,000.00 13,709.88",,,
01-11-2024,,"555.00 1,03,268.81",,,
01-11-2024,,"145.00 1,03,823.81",,,
01-11-2024,,"10,023.21 1,00,498.81",,,
01-11-2024,,"30.00 1,00,468.81",,,
01-11-2024,,"230.00 1,10,522.02",,,
01-11-2024,,"1,650.00 1,10,752.02",,,
01-11-2024,,"3,500.00 1,03,968.81",,,
01-12-2024,,"180.00 84,632.13",,,
01-12-2024,,"80.00 84,552.13",,,
01-12-2024,,"110.00 84,442.13",,,
01-12-2024,,"269.00 84,173.13",,,
01-12-2024,,"335.00 84,812.13",,,
02-01-2025,,"13,500.00 1,26,941.08",,,
02-01-2025,,"1,007.00 1,40,441.08",,,
02-01-2025,,"22.00 1,41,448.08",,,
02-03-2025,,"1,500.00 96,580.98",,,
02-04-2024,,"54,000.00 2,35,676.12",,,
02-04-2024,,"40.00 1,83,119.12",,,
02-04-2024,,"110.00 1,83,009.12",,,
02-04-2024,,"149.00 1,82,860.12",,,
02-04-2024,,"225.00 1,82,635.12",,,
02-04-2024,,"100.00 2,35,576.12",,,
02-04-2024,,"450.00 1,82,185.12",,,
02-04-2024,,"189.00 1,81,676.12",,,
02-04-2024,,"110.00 1,81,865.12",,,
02-04-2024,,"210.00 1,81,975.12",,,
02-05-2024,,"998.00 2,17,026.71",,,
02-05-2024,,"120.00 2,18,244.71",,,
02-05-2024,,"220.00 2,18,024.71",,,
02-05-2024,,"220.00 2,18,364.71",,,
02-07-2024,,"1,300.00 45,683.96",,,
02-07-2024,,"425.00 45,258.96",,,
02-07-2024,,"15.00 45,243.96",,,
02-07-2024,,"160.00 14,083.96",,,
02-07-2024,,"31,000.00 14,243.96",,,
02-09-2024,,"135.00 91,141.54",,,
02-09-2024,,"81,900.00 9,241.54",,,
02-09-2024,,"81,900.00 91,141.54",,,
02-09-2024,,"300.00 90,841.54",,,
02-09-2024,,"30.00 90,811.54",,,
02-09-2024,,"530.00 93,965.54",,,
02-09-2024,,"1,000.00 92,965.54",,,
02-09-2024,,"1,000.00 94,820.54",,,
02-09-2024,,"100.00 92,065.54",,,
02-09-2024,,"83.00 91,982.54",,,
02-09-2024,,"20.00 91,962.54",,,
02-09-2024,,"300.00 91,662.54",,,
02-09-2024,,"300.00 92,165.54",,,
02-09-2024,,"386.00 91,276.54",,,
02-09-2024,,"325.00 94,495.54",,,
02-09-2024,,"500.00 92,465.54",,,
02-10-2024,,"10,050.00 23,759.88",,,
02-10-2024,,"20,029.00 43,788.88",,,
02-10-2024,,"31,000.00 12,788.88",,,
02-10-2024,,29.00 0.00,,,
02-10-2024,,50.00 0.00,,,
02-11-2024,Ltd/430729247298/ICI53eb349f18a24476abcfdc708a,"120.00 1,02,928.81",,,
02-11-2024,,"220.00 1,03,048.81",,,
02-12-2024,,"300.00 82,382.13",,,
02-12-2024,,"19.00 82,682.13",,,
02-12-2024,,"950.00 82,701.13",,,
02-12-2024,CARD,"2.00 83,651.13",,,
02-12-2024,,"520.00 83,653.13",,,
03-01-2025,,"70.00 1,49,337.62",,,
03-01-2025,,"13,500.00 1,49,407.62",,,
03-01-2025,,"833.46 1,35,907.62",,,
03-01-2025,,"60.00 1,36,741.08",,,
03-01-2025,,"5,000.00 1,36,801.08",,,
03-01-2025,,"5,000.00 1,31,801.08",,,
03-01-2025,,"140.00 1,26,801.08",,,
03-01-2025,,"60.00 1,49,277.62",,,
03-01-2025,,"230.00 1,49,047.62",,,
03-02-2025,,"733.95 95,000.94",,,
03-02-2025,,"125.00 93,995.94",,,
03-02-2025,,"880.00 94,120.94",,,
03-03-2025,,"886.00 1,01,468.98",,,
03-03-2025,,"50.00 96,446.98",,,
03-03-2025,,"84.00 96,496.98",,,
03-03-2025,,"130.00 1,01,338.98",,,
03-03-2025,,"92.00 1,02,354.98",,,
03-03-2025,,"6,000.00 1,02,446.98",,,
03-04-2024,,"750.00 2,34,727.12",,,
03-04-2024,,"418.02 2,34,309.10",,,
03-04-2024,,"99.00 2,35,477.12",,,
03-05-2024,,"50,000.00 1,65,966.71",,,
03-05-2024,,"1,000.00 2,15,966.71",,,
03-05-2024,,"60.00 2,16,966.71",,,
03-06-2024,,"870.00 81,840.92",,,
03-06-2024,,"450.00 80,970.92",,,
03-06-2024,,"1,665.36 85,141.64",,,
03-06-2024,,"1,635.36 83,476.28",,,
03-06-2024,CARD,"663.13 84,478.51",,,
03-08-2024,I/421680465502/SBIf4706ccdcfe24717b2561c67ffdd,"10,000.00 25,954.87",,,
03-09-2024,,"205.00 90,306.54",,,
03-09-2024,,"300.00 90,511.54",,,
03-10-2024,,"599.00 9,190.88",,,
03-10-2024,,"2,999.00 9,789.88",,,
03-11-2024,,"640.00 1,01,158.81",,,
03-11-2024,,"450.00 1,01,798.81",,,
03-11-2024,,"50.00 1,02,248.81",,,
03-11-2024,,"30.00 1,02,298.81",,,
03-11-2024,,"450.00 1,02,478.81",,,
03-11-2024,,"80.00 1,01,078.81",,,
03-11-2024,,"150.00 1,02,328.81",,,
03-12-2024,,"730.00 81,652.13",,,
03-12-2024,,"31,000.00 50,652.13",,,
04-01-2025,BANKING,"5,000.00 1,54,047.62",,,
04-01-2025,,"409.90 1,53,637.72",,,
04-02-2025,,"400.00 93,479.94",,,
04-02-2025,,"10.00 93,879.94",,,
04-02-2025,,"106.00 93,889.94",,,
04-03-2025,,"120.00 1,01,218.98",,,
04-03-2025,,"150.00 1,01,068.98",,,
04-04-2024,,"5,000.00 2,39,309.10",,,
04-04-2024,,"120.00 2,39,189.10",,,
04-04-2024,,"60.00 2,38,493.10",,,
04-04-2024,,"60.00 2,38,433.10",,,
04-04-2024,,"100.00 2,39,089.10",,,
04-04-2024,,"536.00 2,38,553.10",,,
04-05-2024,,"44,100.00 1,29,814.71",,,
04-05-2024,,"252.00 85,714.71",,,
04-05-2024,172,"80,000.00 85,966.71",,,
04-06-2024,,"80.00 84,398.51",,,
04-07-2024,,"70.00 13,803.96",,,
04-07-2024,,"170.00 13,873.96",,,
04-07-2024,,"40.00 14,043.96",,,
04-08-2024,,"8,000.00 33,954.87",,,
04-09-2024,,"81,900.00 90,306.54",,,
04-09-2024,,"81,900.00 8,406.54",,,
04-10-2024,,"3,300.00 5,890.88",,,
04-11-2024,,"20.00 1,00,077.99",,,
04-11-2024,,"480.82 1,00,097.99",,,
04-11-2024,,"500.00 1,00,578.81",,,
04-12-2024,,"15,000.00 65,652.13",,,
04-12-2024,BANK/433907426161/ICI4a8d3ca6d38045aa83f6ecc,"1,200.00 64,452.13",,,
04-12-2024,,"100.00 64,268.13",,,
04-12-2024,,"84.00 64,368.13",,,
04-12-2024,,"1,200.00 65,652.13",,,
04-12-2024,,"1,200.00 64,452.13",,,
05-01-2025,,"70.00 1,28,229.72",,,
05-01-2025,,"10.00 1,28,219.72",,,
05-01-2025,,"3,000.00 1,31,219.72",,,
05-01-2025,,"220.00 1,28,299.72",,,
05-01-2025,,"31,000.00 1,28,519.72",,,
